customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,churn
C000039,20,108.22,2171.45,One year,Mailed check,Yes
C000040,46,95.83,4385.74,Two year,Bank transfer,No
C000041,12,42.56,459.7,Month-to-month,Electronic check,Yes
C000042,55,33.38,1782.71,Month-to-month,Electronic check,No
C000043,51,50.26,2617.59,Month-to-month,Bank transfer,Yes
C000044,25,58.59,1477.13,Month-to-month,Bank transfer,Yes
C000045,4,43.07,196.21,Month-to-month,Electronic check,No
C000046,70,119.89,8404.54,One year,Electronic check,Yes
C000047,32,41.42,1341.82,Month-to-month,Electronic check,No
C000048,65,102.72,6653.38,Month-to-month,Electronic check,No
C000049,49,34.23,1666.98,Month-to-month,Credit card,No
C000050,56,117.98,6665.13,One year,Electronic check,Yes
C000051,55,41.0,2325.73,Two year,Mailed check,Yes
C000052,14,61.01,793.04,Month-to-month,Bank transfer,No
C000053,26,74.97,1938.81,One year,Credit card,No
C000054,34,30.27,1071.14,Two year,Electronic check,No
C000055,36,101.32,3741.62,One year,Bank transfer,Yes
C000056,3,46.02,227.16,One year,Bank transfer,No
C000057,39,74.03,2847.38,One year,Electronic check,No
C000058,11,74.06,878.41,Two year,Electronic check,Yes
C000059,54,79.47,4294.31,Month-to-month,Credit card,No
C000060,49,23.66,1211.56,One year,Mailed check,No
C000061,67,35.2,2397.81,Month-to-month,Electronic check,Yes
C000062,54,34.44,1796.56,Month-to-month,Bank transfer,Yes
C000063,26,48.81,1296.56,One year,Electronic check,No
C000064,70,32.78,2344.88,Two year,Electronic check,No
C000065,29,112.04,3248.15,Two year,Electronic check,No
C000066,23,70.32,1605.04,Two year,Electronic check,No
C000067,66,81.6,5307.02,One year,Bank transfer,No
C000068,27,54.46,1504.6,Month-to-month,Mailed check,Yes
C000069,5,46.18,241.34,Two year,Electronic check,Yes
C000070,34,69.32,2310.77,Month-to-month,Bank transfer,No
C000071,58,48.02,2768.87,Month-to-month,Bank transfer,No
C000072,13,53.05,697.38,Month-to-month,Mailed check,No
C000073,33,64.18,2090.01,One year,Electronic check,Yes
C000074,9,69.58,626.35,One year,Electronic check,No
C000075,50,118.4,5832.5,Two year,Credit card,No
C000076,34,40.78,1453.99,Month-to-month,Electronic check,No
C000077,24,67.77,1627.28,Two year,Electronic check,No
C000078,16,33.25,477.03,One year,Bank transfer,No
C000079,41,53.7,2078.71,Two year,Credit card,No
C000080,48,91.17,4427.62,Month-to-month,Credit card,No
C000081,68,35.8,2462.3,One year,Mailed check,No
C000082,31,77.3,2406.83,One year,Credit card,No
C000083,11,60.5,708.68,Month-to-month,Electronic check,No
C000084,60,23.26,1438.64,Month-to-month,Credit card,No
C000085,45,113.17,5102.37,Month-to-month,Electronic check,Yes
C000086,51,60.19,3056.98,Month-to-month,Credit card,Yes
C000087,7,97.96,664.86,Month-to-month,Credit card,No
C000088,22,60.46,1351.17,One year,Bank transfer,No
C000089,56,113.61,6432.01,One year,Bank transfer,Yes
C000090,60,47.63,2852.65,One year,Electronic check,No
C000091,31,60.05,1935.37,Month-to-month,Mailed check,No
C000092,58,95.4,5551.86,Month-to-month,Electronic check,No
C000093,61,53.05,3255.08,One year,Bank transfer,No
C000094,28,55.16,1664.74,One year,Electronic check,No
C000095,65,119.47,7848.18,One year,Electronic check,No
C000096,21,74.67,1652.0,One year,Electronic check,No
C000097,17,88.32,1461.56,Two year,Credit card,No
C000098,49,83.63,4207.48,Two year,Mailed check,Yes
C000099,46,102.45,4708.59,One year,Mailed check,No
C000100,10,105.91,1047.73,Month-to-month,Electronic check,Yes
C000101,60,75.45,4419.04,Month-to-month,Electronic check,No
C000102,14,48.04,688.87,One year,Mailed check,No
C000103,58,20.33,1124.97,Month-to-month,Electronic check,No
C000104,0,80.67,20.41,Month-to-month,Bank transfer,No
C000105,58,102.2,5869.52,Month-to-month,Mailed check,No
C000106,57,63.96,3735.6,Two year,Credit card,No
C000107,56,34.8,1976.38,Month-to-month,Electronic check,Yes
C000108,48,47.38,2388.23,One year,Mailed check,No
C000109,34,70.02,2329.53,Two year,Credit card,No
C000110,51,103.34,5347.8,One year,Credit card,No
C000111,20,35.52,620.26,Month-to-month,Mailed check,Yes
C000112,56,80.44,4515.04,Two year,Electronic check,No
C000113,40,94.84,3762.02,One year,Mailed check,No
C000114,33,113.48,3722.44,Month-to-month,Bank transfer,Yes
C000115,36,29.9,1050.58,One year,Electronic check,No
C000116,41,112.49,4566.35,Month-to-month,Electronic check,No
C000117,2,79.35,95.72,One year,Mailed check,No
C000118,10,96.2,939.88,Two year,Electronic check,No
C000119,17,23.49,405.13,Month-to-month,Credit card,No
C000120,8,69.63,615.22,Two year,Electronic check,No
C000121,32,81.51,2623.09,Month-to-month,Credit card,No
C000122,48,49.3,2424.73,Two year,Mailed check,No
C000123,47,62.03,2841.5,One year,Credit card,Yes
C000124,34,74.54,2512.71,Month-to-month,Bank transfer,Yes
C000125,62,74.36,4645.87,Two year,Electronic check,Yes
C000126,41,22.27,930.23,Two year,Electronic check,No
C000127,5,62.83,271.09,Month-to-month,Electronic check,Yes
C000128,55,39.81,2236.25,One year,Bank transfer,No
C000129,41,111.5,4544.94,Month-to-month,Electronic check,Yes
C000130,46,117.61,5371.19,Month-to-month,Bank transfer,No
C000131,41,48.56,2015.31,Month-to-month,Credit card,No
C000132,40,35.87,1435.11,Month-to-month,Mailed check,No
C000133,6,40.39,216.19,Month-to-month,Bank transfer,Yes
C000134,40,66.73,2641.36,Month-to-month,Credit card,No
C000135,58,107.2,6164.11,Two year,Bank transfer,No
C000136,22,69.0,1498.21,Month-to-month,Electronic check,Yes
C000137,44,23.65,1095.6,Two year,Electronic check,Yes
C000138,2,22.07,56.37,Month-to-month,Mailed check,No
C000139,25,41.19,1077.68,Month-to-month,Electronic check,Yes
C000140,31,103.96,3248.56,One year,Mailed check,Yes
C000141,71,81.39,5748.08,Month-to-month,Credit card,No
C000142,15,75.42,1048.84,Month-to-month,Mailed check,No
C000143,20,50.53,964.26,Two year,Electronic check,No
C000144,29,112.8,3237.64,Month-to-month,Electronic check,No
C000145,72,51.78,3690.73,Month-to-month,Credit card,Yes
C000146,62,103.16,6444.97,One year,Electronic check,No
C000147,2,109.38,267.29,Month-to-month,Electronic check,Yes
C000148,17,67.3,1254.69,One year,Mailed check,No
C000149,59,109.22,6405.79,Month-to-month,Mailed check,No
C000150,4,46.23,264.79,Month-to-month,Mailed check,No
C000151,62,85.16,5359.48,Month-to-month,Bank transfer,No
C000152,20,26.97,527.79,Month-to-month,Bank transfer,No
C000153,66,66.34,4402.12,One year,Electronic check,Yes
C000154,21,40.17,905.61,Two year,Mailed check,No
C000155,31,24.4,753.45,One year,Bank transfer,No
C000156,48,18.38,875.42,Month-to-month,Mailed check,Yes
C000157,9,51.12,428.71,Two year,Credit card,No
C000158,40,78.13,3007.2,One year,Electronic check,Yes
C000159,36,64.43,2323.0,Month-to-month,Mailed check,No
C000160,57,48.78,2744.97,Month-to-month,Bank transfer,No
C000161,72,119.1,8521.43,Month-to-month,Mailed check,Yes
C000162,48,113.83,5484.95,Month-to-month,Electronic check,No
C000163,29,30.82,821.21,Month-to-month,Mailed check,No
C000164,29,60.34,1790.16,Month-to-month,Credit card,No
C000165,30,84.18,2549.58,Two year,Mailed check,Yes
C000166,59,92.82,5456.37,Month-to-month,Electronic check,No
C000167,23,55.37,1270.34,Month-to-month,Electronic check,No
C000168,12,94.12,1069.93,Two year,Mailed check,No
C000169,24,30.66,773.36,Month-to-month,Electronic check,No
C000170,1,51.84,61.21,Month-to-month,Credit card,Yes
C000171,7,91.08,650.65,Month-to-month,Credit card,Yes
C000172,6,81.82,516.01,One year,Credit card,No
C000173,56,103.4,5758.28,Month-to-month,Electronic check,No
C000174,52,22.78,1108.61,One year,Mailed check,No
C000175,50,35.79,1837.37,Two year,Electronic check,Yes
C000176,33,22.95,791.79,One year,Electronic check,No
C000177,52,37.6,1928.43,Two year,Mailed check,No
C000178,11,18.44,223.3,One year,Electronic check,No
C000179,65,69.43,4575.85,One year,Electronic check,No
C000180,36,71.89,2644.98,Month-to-month,Credit card,No
C000181,68,85.1,5758.57,Month-to-month,Credit card,No
C000182,11,57.26,555.42,Month-to-month,Credit card,Yes
C000183,36,18.33,594.02,Month-to-month,Electronic check,No
C000184,50,86.74,4321.41,Month-to-month,Credit card,No
C000185,36,23.54,920.56,One year,Mailed check,No
C000186,32,106.35,3366.78,Month-to-month,Electronic check,No
C000187,12,20.31,213.9,One year,Mailed check,No
C000188,27,72.11,1916.12,Month-to-month,Mailed check,No
C000189,17,109.28,1831.17,Two year,Mailed check,No
C000190,22,76.39,1680.02,Month-to-month,Credit card,No
C000191,49,80.06,3858.94,One year,Electronic check,No
C000192,46,87.52,4080.14,One year,Credit card,No
C000193,44,30.49,1334.32,Month-to-month,Electronic check,No
C000194,26,86.84,2381.8,Two year,Bank transfer,No
C000195,70,107.8,7487.32,Two year,Credit card,No
C000196,6,117.37,783.71,One year,Mailed check,No
C000197,25,63.19,1649.32,Two year,Credit card,No
C000198,8,53.14,404.54,Month-to-month,Bank transfer,Yes
C000199,24,94.84,2256.41,Two year,Electronic check,No
C000200,70,73.37,5089.84,Two year,Bank transfer,Yes
C000201,26,44.25,1105.01,One year,Bank transfer,No
C000202,66,35.56,2346.93,Two year,Electronic check,No
C000203,36,35.36,1273.99,One year,Mailed check,No
C000204,51,64.84,3226.72,Month-to-month,Electronic check,Yes
C000205,33,35.35,1281.23,One year,Electronic check,Yes
C000206,19,20.01,367.21,Month-to-month,Credit card,No
C000207,55,23.31,1285.33,One year,Credit card,No
C000208,70,112.85,7868.19,Month-to-month,Bank transfer,No
C000209,19,25.44,470.01,One year,Electronic check,No
C000210,56,25.46,1407.87,Month-to-month,Mailed check,No
C000211,19,64.02,1216.23,Month-to-month,Electronic check,Yes
C000212,52,43.0,2235.27,Month-to-month,Electronic check,Yes
C000213,57,116.19,6663.07,Month-to-month,Credit card,No
C000214,32,110.92,3560.8,One year,Mailed check,No
C000215,53,59.28,3177.05,Month-to-month,Mailed check,Yes
C000216,19,63.77,1211.14,Month-to-month,Electronic check,Yes
C000217,5,56.26,292.86,Month-to-month,Credit card,Yes
C000218,7,21.86,140.95,Month-to-month,Electronic check,Yes
C000219,32,47.87,1582.0,Month-to-month,Mailed check,No
C000220,65,30.51,1999.28,Month-to-month,Electronic check,No
C000221,9,28.44,248.06,One year,Electronic check,No
C000222,33,75.21,2472.53,One year,Bank transfer,No
C000223,51,28.07,1426.11,Two year,Bank transfer,Yes
C000224,14,28.5,400.52,Month-to-month,Bank transfer,No
C000225,52,67.01,3481.7,Month-to-month,Electronic check,Yes
C000226,22,63.11,1360.48,Month-to-month,Credit card,No
C000227,59,32.04,1928.61,One year,Bank transfer,Yes
C000228,42,18.45,816.3,Month-to-month,Credit card,No
C000229,39,37.68,1558.71,Month-to-month,Electronic check,No
C000230,12,42.06,474.54,One year,Credit card,No
C000231,33,99.63,3321.11,Month-to-month,Bank transfer,No
C000232,62,111.37,6809.48,Month-to-month,Mailed check,Yes
C000233,1,59.41,100.86,One year,Electronic check,Yes
C000234,55,59.31,3189.22,Two year,Electronic check,No
C000235,35,90.67,3124.23,Month-to-month,Credit card,No
C000236,52,81.95,4278.01,Month-to-month,Electronic check,Yes
C000237,48,36.78,1734.37,Month-to-month,Bank transfer,No
C000238,31,28.98,860.46,Month-to-month,Bank transfer,Yes
C000239,22,62.64,1353.84,Month-to-month,Bank transfer,Yes
C000240,45,75.61,3438.93,Month-to-month,Mailed check,No
C000241,10,32.15,274.86,Month-to-month,Credit card,Yes
C000242,42,47.91,2009.51,Month-to-month,Electronic check,Yes
C000243,6,49.21,276.33,One year,Credit card,Yes
C000244,47,44.65,2139.54,Two year,Mailed check,No
C000245,45,65.0,2967.4,Month-to-month,Electronic check,Yes
C000246,6,84.61,415.9,One year,Electronic check,Yes
C000247,55,69.96,3900.06,Two year,Credit card,No
C000248,30,38.55,1125.96,Month-to-month,Bank transfer,No
C000249,57,28.5,1636.31,One year,Electronic check,No
C000250,3,101.83,258.54,Month-to-month,Electronic check,Yes
C000251,13,66.89,888.13,Two year,Bank transfer,No
C000252,36,24.34,1003.81,Month-to-month,Electronic check,Yes
C000253,13,44.33,582.65,Month-to-month,Electronic check,No
C000254,24,100.01,2377.25,Two year,Bank transfer,No
C000255,48,94.68,4533.03,One year,Electronic check,No
C000256,10,107.33,999.85,Month-to-month,Electronic check,Yes
C000257,49,79.41,3963.54,One year,Mailed check,No
C000258,7,61.14,443.62,Two year,Bank transfer,No
C000259,12,61.52,685.8,Month-to-month,Bank transfer,Yes
C000260,42,37.79,1536.36,Month-to-month,Electronic check,No
C000261,57,84.38,4810.42,Month-to-month,Mailed check,No
C000262,12,77.68,978.76,Two year,Electronic check,No
C000263,21,33.8,652.25,Month-to-month,Mailed check,No
C000264,67,108.34,7314.45,Month-to-month,Electronic check,No
C000265,72,55.58,3997.18,Month-to-month,Electronic check,No
C000266,42,23.07,922.43,Month-to-month,Bank transfer,No
C000267,32,51.44,1622.7,Month-to-month,Electronic check,Yes
C000268,25,106.73,2755.68,Month-to-month,Credit card,No
C000269,44,111.53,4837.91,Month-to-month,Credit card,No
C000270,43,68.02,2888.27,Month-to-month,Electronic check,Yes
C000271,21,115.55,2474.18,Month-to-month,Bank transfer,Yes
C000272,1,107.27,118.09,Month-to-month,Bank transfer,Yes
C000273,11,102.17,1084.31,Month-to-month,Electronic check,Yes
C000274,69,105.69,7340.85,One year,Mailed check,No
C000275,30,56.95,1759.11,Month-to-month,Credit card,Yes
C000276,35,95.16,3347.17,Month-to-month,Electronic check,No
C000277,34,76.89,2583.64,One year,Bank transfer,No
C000278,57,91.41,5187.45,One year,Bank transfer,No
C000279,4,36.13,158.75,One year,Electronic check,No
C000280,6,92.6,490.0,Two year,Mailed check,No
C000281,20,115.67,2379.79,Month-to-month,Credit card,No
C000282,35,48.87,1795.46,Month-to-month,Electronic check,No
C000283,48,118.59,5680.52,Month-to-month,Electronic check,Yes
C000284,35,56.59,1998.46,Month-to-month,Electronic check,No
C000285,32,38.37,1287.13,Two year,Bank transfer,No
C000286,68,29.45,2100.38,One year,Bank transfer,No
C000287,11,98.07,1156.62,One year,Mailed check,No
C000288,41,74.59,2971.41,Two year,Credit card,No
C000289,39,49.33,1908.09,Two year,Credit card,No
C000290,34,80.06,2747.07,Month-to-month,Electronic check,No
C000291,58,51.87,2983.75,Two year,Credit card,No
C000292,19,63.73,1300.01,Month-to-month,Electronic check,No
C000293,69,105.99,7394.78,Month-to-month,Electronic check,Yes
C000294,24,86.15,2026.8,Month-to-month,Electronic check,No
C000295,39,95.76,3726.52,Two year,Mailed check,Yes
C000296,38,77.52,2908.28,One year,Credit card,No
C000297,62,119.12,7375.68,Month-to-month,Mailed check,No
C000298,32,42.62,1352.57,Two year,Bank transfer,No
C000299,20,44.75,942.71,Month-to-month,Electronic check,Yes
C000300,1,27.44,0.0,One year,Electronic check,No
C000301,26,74.51,1806.42,Month-to-month,Credit card,No
C000302,60,80.56,4753.37,Month-to-month,Credit card,No
C000303,0,92.05,0.0,Month-to-month,Mailed check,Yes
C000304,65,52.22,3361.52,Two year,Electronic check,No
C000305,39,19.25,760.11,Two year,Electronic check,No
C000306,10,82.49,770.91,Month-to-month,Credit card,Yes
C000307,22,119.87,2576.58,Month-to-month,Electronic check,Yes
C000308,40,48.04,1875.13,Month-to-month,Electronic check,Yes
C000309,23,36.76,789.7,One year,Bank transfer,No
C000310,7,46.74,299.46,Month-to-month,Credit card,Yes
C000311,48,61.39,2916.86,One year,Electronic check,No
C000312,49,43.59,2170.36,Month-to-month,Bank transfer,Yes
C000313,8,53.39,377.64,Month-to-month,Electronic check,Yes
C000314,20,83.1,1644.12,Two year,Bank transfer,No
C000315,17,53.19,876.98,One year,Electronic check,No
C000316,48,58.4,2843.64,Month-to-month,Credit card,Yes
C000317,53,22.08,1162.53,Month-to-month,Bank transfer,No
C000318,53,111.63,5968.92,Month-to-month,Credit card,Yes
C000319,68,59.5,3988.38,Month-to-month,Mailed check,No
C000320,56,51.47,2879.85,Month-to-month,Credit card,No
C000321,23,26.82,588.07,One year,Mailed check,No
C000322,7,82.69,517.53,Month-to-month,Mailed check,No
C000323,44,106.11,4665.46,Month-to-month,Electronic check,No
C000324,66,22.2,1551.85,Month-to-month,Credit card,Yes
C000325,71,32.82,2287.57,Month-to-month,Mailed check,Yes
C000326,16,32.93,520.51,Month-to-month,Bank transfer,No
C000327,17,79.43,1284.7,Two year,Bank transfer,No
C000328,2,111.97,150.98,Month-to-month,Bank transfer,Yes
C000329,10,62.65,587.14,One year,Bank transfer,No
C000330,40,53.07,2100.3,Month-to-month,Bank transfer,Yes
C000331,39,96.12,3728.4,Month-to-month,Mailed check,No
C000332,27,93.74,2519.68,Month-to-month,Bank transfer,No
C000333,22,43.17,867.32,One year,Mailed check,No
C000334,60,34.4,2032.7,Month-to-month,Bank transfer,Yes
C000335,33,54.5,1823.59,One year,Credit card,No
C000336,59,97.11,5661.58,Month-to-month,Mailed check,No
C000337,70,88.9,6205.24,One year,Electronic check,No
C000338,23,85.92,1990.8,Month-to-month,Electronic check,No
C000339,14,102.6,1397.29,Month-to-month,Credit card,No
C000340,69,46.27,3209.71,One year,Credit card,No
C000341,46,52.65,2345.84,Month-to-month,Electronic check,No
C000342,21,22.32,513.14,Month-to-month,Credit card,No
C000343,45,106.61,4815.74,One year,Electronic check,Yes
C000344,37,77.41,2866.95,One year,Credit card,Yes
C000345,66,48.41,3251.3,One year,Credit card,No
C000346,18,25.08,434.97,Month-to-month,Mailed check,No
C000347,72,91.79,6577.99,Month-to-month,Credit card,No
C000348,68,94.37,6485.79,Month-to-month,Mailed check,No
C000349,13,85.95,1209.39,Month-to-month,Electronic check,No
C000350,12,38.79,430.81,Month-to-month,Credit card,Yes
C000351,38,111.15,4218.01,Month-to-month,Electronic check,No
C000352,3,94.82,336.71,Month-to-month,Electronic check,Yes
C000353,21,85.09,1782.98,Month-to-month,Electronic check,No
C000354,31,84.4,2646.13,Month-to-month,Bank transfer,No
C000355,70,110.24,7755.82,Month-to-month,Bank transfer,No
C000356,72,112.69,8085.56,Month-to-month,Credit card,Yes
C000357,11,78.76,887.32,Month-to-month,Credit card,No
C000358,65,60.5,3932.19,One year,Credit card,No
C000359,6,55.1,269.76,Month-to-month,Bank transfer,Yes
C000360,54,101.55,5434.22,Month-to-month,Credit card,No
C000361,61,83.75,5076.13,Two year,Electronic check,Yes
C000362,65,25.88,1728.63,Month-to-month,Bank transfer,Yes
C000363,16,32.5,568.07,Month-to-month,Electronic check,No
C000364,65,109.82,7175.8,One year,Electronic check,No
C000365,8,108.22,887.77,One year,Electronic check,No
C000366,37,115.09,4278.97,Two year,Electronic check,No
C000367,34,61.64,2109.64,Two year,Credit card,Yes
C000368,23,97.97,2273.69,One year,Mailed check,No
C000369,1,102.48,126.25,Month-to-month,Credit card,Yes
C000370,56,50.2,2740.98,Month-to-month,Mailed check,No
C000371,24,32.82,748.17,Month-to-month,Bank transfer,No
C000372,48,119.7,5694.15,Month-to-month,Electronic check,Yes
C000373,29,21.08,666.68,Two year,Credit card,No
C000374,27,78.93,2213.82,Month-to-month,Electronic check,Yes
C000375,64,84.32,5288.03,Two year,Bank transfer,No
C000376,6,87.54,603.48,Month-to-month,Credit card,No
C000377,53,44.07,2340.05,Month-to-month,Credit card,No
C000378,54,91.6,4997.04,Two year,Credit card,Yes
C000379,27,40.07,1107.21,Month-to-month,Electronic check,Yes
C000380,19,102.56,2020.66,Month-to-month,Mailed check,No
C000381,0,40.35,10.49,Month-to-month,Electronic check,Yes
C000382,68,89.06,5987.91,Month-to-month,Electronic check,No
C000383,69,97.91,6750.51,Month-to-month,Electronic check,No
C000384,17,37.27,659.37,One year,Bank transfer,Yes
C000385,2,42.27,73.74,Two year,Credit card,No
C000386,8,97.47,812.65,One year,Bank transfer,No
C000387,4,26.77,103.8,Two year,Credit card,No
C000388,60,37.46,2217.82,Two year,Mailed check,Yes
C000389,65,64.46,4135.6,Month-to-month,Electronic check,No
C000390,11,112.88,1222.09,One year,Bank transfer,Yes
C000391,54,75.31,4076.97,One year,Electronic check,No
C000392,13,57.54,650.05,Month-to-month,Mailed check,No
C000393,26,117.79,3023.54,Month-to-month,Credit card,Yes
C000394,43,65.3,2708.07,One year,Electronic check,No
C000395,52,62.24,3205.63,Two year,Electronic check,Yes
C000396,63,59.99,3839.24,Two year,Electronic check,No
C000397,3,49.84,90.21,Month-to-month,Bank transfer,No
C000398,14,51.22,752.24,One year,Electronic check,No
C000399,20,88.16,1905.64,Month-to-month,Bank transfer,No
C000400,22,22.17,560.42,Two year,Electronic check,Yes
C000401,72,87.55,6310.28,One year,Credit card,No
C000402,56,38.52,2200.04,Two year,Credit card,No
C000403,23,57.19,1246.89,Two year,Electronic check,Yes
C000404,70,32.95,2227.83,Month-to-month,Credit card,No
C000405,36,74.38,2679.11,Two year,Electronic check,No
C000406,36,92.39,3345.97,One year,Electronic check,No
C000407,31,54.17,1733.99,Month-to-month,Mailed check,No
C000408,10,34.67,318.26,Month-to-month,Electronic check,No
C000409,68,41.1,2804.47,One year,Credit card,No
C000410,1,101.45,109.41,Month-to-month,Credit card,No
C000411,12,45.3,537.03,Month-to-month,Credit card,Yes
C000412,16,97.02,1548.7,One year,Electronic check,Yes
C000413,20,51.78,992.86,Month-to-month,Bank transfer,Yes
C000414,9,37.25,349.24,Month-to-month,Bank transfer,No
C000415,1,92.19,101.94,One year,Electronic check,Yes
C000416,49,65.79,3201.71,Month-to-month,Credit card,Yes
C000417,70,21.19,1516.59,One year,Credit card,No
C000418,8,115.91,978.67,Month-to-month,Credit card,No
C000419,21,33.07,728.34,Two year,Credit card,No
C000420,36,54.05,1893.68,Month-to-month,Electronic check,No
C000421,67,57.25,3840.73,Two year,Credit card,No
C000422,50,67.92,3350.43,One year,Credit card,No
C000423,55,98.12,5401.43,Two year,Bank transfer,No
C000424,42,18.62,736.66,Month-to-month,Electronic check,No
C000425,30,113.11,3457.16,Month-to-month,Mailed check,No
C000426,14,83.89,1213.63,Month-to-month,Electronic check,No
C000427,63,114.97,7300.76,Month-to-month,Electronic check,No
C000428,58,101.37,5932.05,Month-to-month,Credit card,No
C000429,1,112.64,99.11,One year,Credit card,No
C000430,52,79.3,4102.32,Month-to-month,Credit card,No
C000431,6,54.45,413.79,Month-to-month,Electronic check,Yes
C000432,53,63.18,3340.28,Month-to-month,Bank transfer,No
C000433,60,85.12,5039.47,One year,Mailed check,Yes
C000434,9,61.55,604.32,One year,Mailed check,No
C000435,31,92.63,2878.72,Month-to-month,Mailed check,No
C000436,9,27.37,321.63,Month-to-month,Credit card,Yes
C000437,41,102.66,4221.21,Month-to-month,Credit card,No
C000438,67,38.83,2600.61,One year,Credit card,No
C000439,5,114.28,647.71,One year,Electronic check,Yes
C000440,29,33.87,905.31,Month-to-month,Mailed check,No
C000441,71,31.17,2183.8,Month-to-month,Bank transfer,No
C000442,21,100.81,2072.64,One year,Bank transfer,No
C000443,9,101.51,803.84,One year,Credit card,No
C000444,35,93.35,3310.91,Month-to-month,Electronic check,No
C000445,37,115.97,4263.02,Month-to-month,Electronic check,No
C000446,48,45.6,2234.07,Month-to-month,Credit card,Yes
C000447,22,102.32,2270.49,One year,Mailed check,Yes
C000448,69,53.91,3750.15,Month-to-month,Mailed check,Yes
C000449,38,72.81,2744.01,One year,Credit card,No
C000450,20,63.45,1230.79,One year,Bank transfer,No
C000451,70,18.6,1306.49,Two year,Bank transfer,No
C000452,67,76.6,5178.16,Two year,Electronic check,No
C000453,36,94.25,3390.48,Month-to-month,Bank transfer,No
C000454,1,35.8,0.7,One year,Mailed check,No
C000455,43,113.03,4800.34,One year,Bank transfer,No
C000456,40,72.1,2894.21,Two year,Bank transfer,No
C000457,10,36.18,334.1,Month-to-month,Electronic check,Yes
C000458,46,83.89,3855.35,Month-to-month,Electronic check,No
C000459,61,37.58,2280.44,Two year,Mailed check,No
C000460,7,24.48,149.14,Month-to-month,Mailed check,No
C000461,52,87.9,4585.49,Two year,Electronic check,No
C000462,10,29.29,320.63,Month-to-month,Credit card,Yes
C000463,54,28.83,1655.08,Month-to-month,Electronic check,No
C000464,30,93.47,2842.0,Two year,Mailed check,No
C000465,0,23.63,79.68,One year,Bank transfer,Yes
C000466,70,100.6,7001.07,One year,Bank transfer,No
C000467,12,99.21,1110.47,Month-to-month,Electronic check,No
C000468,43,32.42,1393.34,Month-to-month,Electronic check,No
C000469,13,70.87,964.21,Month-to-month,Electronic check,No
C000470,68,27.86,1929.54,One year,Electronic check,Yes
C000471,53,82.52,4434.13,Month-to-month,Electronic check,No
C000472,58,24.42,1289.53,Month-to-month,Bank transfer,No
C000473,31,114.34,3607.19,Month-to-month,Mailed check,No
C000474,34,39.19,1349.23,Two year,Electronic check,No
C000475,46,87.66,3955.16,Two year,Bank transfer,No
C000476,57,31.09,1808.31,Month-to-month,Electronic check,Yes
C000477,61,39.38,2410.65,Two year,Credit card,No
C000478,1,64.0,83.06,Month-to-month,Bank transfer,No
C000479,48,76.46,3720.04,Month-to-month,Bank transfer,Yes
C000480,7,119.88,860.67,Month-to-month,Electronic check,No
C000481,21,20.64,359.8,Two year,Mailed check,Yes
C000482,60,18.03,1074.65,Month-to-month,Mailed check,Yes
C000483,18,53.74,886.44,Month-to-month,Credit card,No
C000484,58,55.35,3242.75,Two year,Electronic check,No
C000485,33,108.15,3638.85,One year,Mailed check,No
C000486,16,111.08,1715.21,One year,Credit card,No
